"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034755","BP","GO:0034755","iron ion transmembrane transport","1/1","24/18860",0.0416666666666667,785.833333333333,28.0148770001464,0.00127253446447495,0.015173725906057,NA,"TF",1
"GO:0060586","BP","GO:0060586","multicellular organismal-level iron ion homeostasis","1/1","28/18860",0.0357142857142857,673.571428571429,25.9339821194399,0.00148462354188739,0.015173725906057,NA,"TF",1
"GO:0010039","BP","GO:0010039","response to iron ion","1/1","32/18860",0.03125,589.375,24.2564424431943,0.00169671261930027,0.015173725906057,NA,"TF",1
"GO:0048260","BP","GO:0048260","positive regulation of receptor-mediated endocytosis","1/1","54/18860",0.0185185185185185,349.259259259259,18.6617056899754,0.00286320254506889,0.015173725906057,NA,"TF",1
"GO:0006826","BP","GO:0006826","iron ion transport","1/1","55/18860",0.0181818181818182,342.909090909091,18.4907839452277,0.00291622481442189,0.015173725906057,NA,"TF",1
"GO:0006879","BP","GO:0006879","intracellular iron ion homeostasis","1/1","78/18860",0.0128205128205128,241.794871794872,15.5175665551939,0.00413573700954406,0.015173725906057,NA,"TF",1
"GO:0019731","BP","GO:0019731","antibacterial humoral response","1/1","78/18860",0.0128205128205128,241.794871794872,15.5175665551939,0.00413573700954406,0.015173725906057,NA,"TF",1
"GO:0140962","BP","GO:0140962","multicellular organismal-level chemical homeostasis","1/1","80/18860",0.0125,235.75,15.3215534460446,0.00424178154825039,0.015173725906057,NA,"TF",1
"GO:0032436","BP","GO:0032436","positive regulation of proteasomal ubiquitin-dependent protein catabolic process","1/1","82/18860",0.0121951219512195,230,15.1327459504216,0.0043478260869565,0.015173725906057,NA,"TF",1
"GO:0140115","BP","GO:0140115","export across plasma membrane","1/1","100/18860",0.01,188.6,13.6967149346111,0.0053022269353129,0.015173725906057,NA,"TF",1
"GO:0000041","BP","GO:0000041","transition metal ion transport","1/1","102/18860",0.00980392156862745,184.901960784314,13.5610457113127,0.00540827147401912,0.015173725906057,NA,"TF",1
"GO:2000060","BP","GO:2000060","positive regulation of ubiquitin-dependent protein catabolic process","1/1","106/18860",0.00943396226415094,177.924528301887,13.3012979931241,0.00562036055143156,0.015173725906057,NA,"TF",1
"GO:0030316","BP","GO:0030316","osteoclast differentiation","1/1","117/18860",0.00854700854700855,161.196581196581,12.6568788094293,0.00620360551431587,0.015173725906057,NA,"TF",1
"GO:1901800","BP","GO:1901800","positive regulation of proteasomal protein catabolic process","1/1","117/18860",0.00854700854700855,161.196581196581,12.6568788094293,0.00620360551431587,0.015173725906057,NA,"TF",1
"GO:0048259","BP","GO:0048259","regulation of receptor-mediated endocytosis","1/1","126/18860",0.00793650793650794,149.68253968254,12.1935450006362,0.00668080593849407,0.015173725906057,NA,"TF",1
"GO:0032434","BP","GO:0032434","regulation of proteasomal ubiquitin-dependent protein catabolic process","1/1","139/18860",0.00719424460431655,135.68345323741,11.6053200402837,0.00737009544008482,0.015173725906057,NA,"TF",1
"GO:1903052","BP","GO:1903052","positive regulation of proteolysis involved in protein catabolic process","1/1","139/18860",0.00719424460431655,135.68345323741,11.6053200402837,0.00737009544008482,0.015173725906057,NA,"TF",1
"GO:0045807","BP","GO:0045807","positive regulation of endocytosis","1/1","165/18860",0.00606060606060606,114.30303030303,10.6443896162735,0.00874867444326621,0.0164369034994699,NA,"TF",1
"GO:2000058","BP","GO:2000058","regulation of ubiquitin-dependent protein catabolic process","1/1","178/18860",0.00561797752808989,105.955056179775,10.244757497363,0.00943796394485685,0.0164369034994699,NA,"TF",1
"GO:0019730","BP","GO:0019730","antimicrobial humoral response","1/1","184/18860",0.00543478260869565,102.5,10.0747208398049,0.00975609756097562,0.0164369034994699,NA,"TF",1
"GO:0071248","BP","GO:0071248","cellular response to metal ion","1/1","186/18860",0.00537634408602151,101.397849462366,10.0198727268546,0.00986214209968195,0.0164369034994699,NA,"TF",1
"GO:0061136","BP","GO:0061136","regulation of proteasomal protein catabolic process","1/1","209/18860",0.00478468899521531,90.2392344497608,9.44665202332344,0.0110816542948039,0.0167793389890418,NA,"TF",1
"GO:0045862","BP","GO:0045862","positive regulation of proteolysis","1/1","210/18860",0.00476190476190476,89.8095238095238,9.42388050696335,0.0111346765641569,0.0167793389890418,NA,"TF",1
"GO:0045732","BP","GO:0045732","positive regulation of protein catabolic process","1/1","217/18860",0.00460829493087558,86.9124423963134,9.26889650370061,0.0115058324496287,0.0167793389890418,NA,"TF",1
"GO:1903050","BP","GO:1903050","regulation of proteolysis involved in protein catabolic process","1/1","248/18860",0.00403225806451613,76.0483870967742,8.66304721773893,0.0131495227995759,0.0183436658781304,NA,"TF",1
"GO:0002573","BP","GO:0002573","myeloid leukocyte differentiation","1/1","257/18860",0.00389105058365759,73.3852140077821,8.50795004732527,0.013626723223754,0.0183436658781304,NA,"TF",1
"GO:0006898","BP","GO:0006898","receptor-mediated endocytosis","1/1","279/18860",0.003584229390681,67.5985663082437,8.16079446550664,0.0147932131495228,0.019176387416048,NA,"TF",1
"GO:0006959","BP","GO:0006959","humoral immune response","1/1","307/18860",0.00325732899022801,61.4332247557003,7.77388093269381,0.0162778366914105,0.0203472958642631,NA,"TF",1
"GO:0030100","BP","GO:0030100","regulation of endocytosis","1/1","318/18860",0.00314465408805031,59.3081761006289,7.63597905318165,0.0168610816542948,0.0203495813069075,NA,"TF",1
"GO:0010038","BP","GO:0010038","response to metal ion","1/1","351/18860",0.00284900284900285,53.7321937321937,7.26169358567227,0.018610816542948,0.0216108507508639,NA,"TF",1
"GO:0042742","BP","GO:0042742","defense response to bacterium","1/1","361/18860",0.00277008310249307,52.2437673130194,7.15847520866137,0.0191410392364795,0.0216108507508639,NA,"TF",1
"GO:0042176","BP","GO:0042176","regulation of protein catabolic process","1/1","383/18860",0.00261096605744125,49.242819843342,6.94570513651005,0.020307529162248,0.0220510261368599,NA,"TF",1
"GO:0030162","BP","GO:0030162","regulation of proteolysis","1/1","398/18860",0.00251256281407035,47.3869346733668,6.81079545085351,0.0211028632025451,0.0220510261368599,NA,"TF",1
"GO:0031647","BP","GO:0031647","regulation of protein stability","1/1","404/18860",0.00247524752475248,46.6831683168317,6.75893248352369,0.0214209968186639,0.0220510261368599,NA,"TF",1
"GO:0030099","BP","GO:0030099","myeloid cell differentiation","1/1","481/18860",0.00207900207900208,39.2099792099792,6.18142210255692,0.0255037115588548,0.0255037115588548,NA,"TF",1
"GO:0030669","CC","GO:0030669","clathrin-coated endocytic vesicle membrane","1/1","76/19944",0.0131578947368421,262.421052631579,16.1685204218438,0.00381066987565182,0.0194795427196151,NA,"TF",1
"GO:0005905","CC","GO:0005905","clathrin-coated pit","1/1","78/19944",0.0128205128205128,255.692307692308,15.9590822948034,0.0039109506618531,0.0194795427196151,NA,"TF",1
"GO:0045334","CC","GO:0045334","clathrin-coated endocytic vesicle","1/1","94/19944",0.0106382978723404,212.170212765957,14.5316968302383,0.00471319695146388,0.0194795427196151,NA,"TF",1
"GO:0030665","CC","GO:0030665","clathrin-coated vesicle membrane","1/1","140/19944",0.00714285714285714,142.457142857143,11.8935756968686,0.00701965503409552,0.0194795427196151,NA,"TF",1
"GO:0072562","CC","GO:0072562","blood microparticle","1/1","145/19944",0.00689655172413793,137.544827586207,11.6852397316532,0.00727035699959877,0.0194795427196151,NA,"TF",1
"GO:0030662","CC","GO:0030662","coated vesicle membrane","1/1","207/19944",0.00483091787439614,96.3478260869565,9.76462114405656,0.0103790613718412,0.0194795427196151,NA,"TF",1
"GO:0030666","CC","GO:0030666","endocytic vesicle membrane","1/1","208/19944",0.00480769230769231,95.8846153846154,9.74087344053989,0.0104292017649417,0.0194795427196151,NA,"TF",1
"GO:0055037","CC","GO:0055037","recycling endosome","1/1","214/19944",0.00467289719626168,93.196261682243,9.60188844354292,0.0107300441235461,0.0194795427196151,NA,"TF",1
"GO:0030136","CC","GO:0030136","clathrin-coated vesicle","1/1","223/19944",0.00448430493273543,89.4349775784753,9.40398732338976,0.0111813076614522,0.0194795427196151,NA,"TF",1
"GO:0009925","CC","GO:0009925","basal plasma membrane","1/1","300/19944",0.00333333333333333,66.48,8.09197132965756,0.0150421179302046,0.0194795427196151,NA,"TF",1
"GO:0005788","CC","GO:0005788","endoplasmic reticulum lumen","1/1","319/19944",0.00313479623824451,62.5203761755486,7.84349260059245,0.0159947853991176,0.0194795427196151,NA,"TF",1
"GO:0045178","CC","GO:0045178","basal part of cell","1/1","319/19944",0.00313479623824451,62.5203761755486,7.84349260059245,0.0159947853991176,0.0194795427196151,NA,"TF",1
"GO:0030135","CC","GO:0030135","coated vesicle","1/1","323/19944",0.00309597523219814,61.7461300309598,7.79398037147642,0.0161953469715204,0.0194795427196151,NA,"TF",1
"GO:0005770","CC","GO:0005770","late endosome","1/1","326/19944",0.00306748466257669,61.1779141104294,7.75744249804209,0.0163457681508222,0.0194795427196151,NA,"TF",1
"GO:0098802","CC","GO:0098802","plasma membrane signaling receptor complex","1/1","326/19944",0.00306748466257669,61.1779141104294,7.75744249804209,0.0163457681508222,0.0194795427196151,NA,"TF",1
"GO:0034774","CC","GO:0034774","secretory granule lumen","1/1","327/19944",0.00305810397553517,60.9908256880734,7.7453744704871,0.016395908543923,0.0194795427196151,NA,"TF",1
"GO:0060205","CC","GO:0060205","cytoplasmic vesicle lumen","1/1","332/19944",0.00301204819277108,60.0722891566265,7.68584993066001,0.0166466105094265,0.0194795427196151,NA,"TF",1
"GO:0031983","CC","GO:0031983","vesicle lumen","1/1","333/19944",0.003003003003003,59.8918918918919,7.67410528282561,0.0166967509025272,0.0194795427196151,NA,"TF",1
"GO:0030139","CC","GO:0030139","endocytic vesicle","1/1","361/19944",0.00277008310249307,55.2465373961219,7.36522487070978,0.0181006819093464,0.0200060168471724,NA,"TF",1
"GO:0016324","CC","GO:0016324","apical plasma membrane","1/1","425/19944",0.00235294117647059,46.9270588235294,6.77695055489779,0.02130966706779,0.0223751504211795,NA,"TF",1
"GO:0005769","CC","GO:0005769","early endosome","1/1","448/19944",0.00223214285714286,44.5178571428571,6.59680658674007,0.0224628961091057,0.0224628961091057,NA,"TF",1
"GO:0008199","MF","GO:0008199","ferric iron binding","1/1","10/18662",0.1,1866.2,43.1879612855249,0.000535848247776416,0.00187546886721668,NA,"TF",1
"GO:1990459","MF","GO:1990459","transferrin receptor binding","1/1","12/18662",0.0833333333333333,1555.16666666667,39.4229205750496,0.000643017897331566,0.00187546886721668,NA,"TF",1
"GO:0016530","MF","GO:0016530","metallochaperone activity","1/1","15/18662",0.0666666666666667,1244.13333333333,35.2580959969953,0.000803772371664291,0.00187546886721668,NA,"TF",1
"GO:0008198","MF","GO:0008198","ferrous iron binding","1/1","25/18662",0.04,746.48,27.3034796317246,0.00133962061944071,0.00234433608402124,NA,"TF",1
"GO:0140104","MF","GO:0140104","molecular carrier activity","1/1","116/18662",0.00862068965517241,160.879310344828,12.6443390631866,0.00621583967420436,0.00825206301575432,NA,"TF",1
"GO:0044325","MF","GO:0044325","transmembrane transporter binding","1/1","145/18662",0.00689655172413793,128.703448275862,11.3005950407871,0.00776979959275548,0.00825206301575432,NA,"TF",1
"GO:0005506","MF","GO:0005506","iron ion binding","1/1","154/18662",0.00649350649350649,121.181818181818,10.9627468356164,0.00825206301575432,0.00825206301575432,NA,"TF",1
